년도,순위,팀,경기,승,무,패,득점,실점,득실차,승점,비고
2002,1,브라질,7,7,0,0,18,4,14,21,우승
2002,2,독일,7,5,1,1,14,3,11,16,준우승
2002,3,터키,7,4,1,2,10,6,4,13,3위
2002,4,대한민국,7,3,2,2,8,6,2,11,4위
2002,5,스페인,5,3,2,0,10,5,5,11,8강
2002,6,잉글랜드,5,2,2,1,6,3,3,8,8강
2002,7,세네갈,5,2,2,1,7,6,1,8,8강
2002,8,미국,5,2,1,2,7,7,0,7,8강
2002,9,일본,4,2,1,1,5,3,2,7,16강
2002,10,덴마크,4,2,1,1,5,5,0,7,16강
2002,11,멕시코,4,2,1,1,4,4,0,7,16강
2002,12,아일랜드,4,1,3,0,6,3,3,6,16강
2002,13,스웨덴,4,1,2,1,5,5,0,5,16강
2002,14,벨기에,4,1,2,1,6,7,-1,5,16강
2002,15,이탈리아,4,1,1,2,5,5,0,4,16강
2002,16,파라과이,4,1,1,2,6,7,-1,4,16강
2002,17,남아프리카 공화국,3,1,1,1,5,5,0,4,조별리그
2002,18,아르헨티나,3,1,1,1,2,2,0,4,조별리그
2002,19,코스타리카,3,1,1,1,5,6,-1,4,조별리그
2002,20,카메룬,3,1,1,1,2,3,-1,4,조별리그
2002,21,포르투갈,3,1,0,2,6,4,2,3,조별리그
2002,22,러시아,3,1,0,2,4,4,0,3,조별리그
2002,23,크로아티아,3,1,0,2,2,3,-1,3,조별리그
2002,24,에콰도르,3,1,0,2,2,4,-2,3,조별리그
2002,25,폴란드,3,1,0,2,3,7,-4,3,조별리그
2002,26,우루과이,3,0,2,1,4,5,-1,2,조별리그
2002,27,나이지리아,3,0,1,2,1,3,-2,1,조별리그
2002,28,프랑스,3,0,1,2,0,3,-3,1,조별리그
2002,29,튀니지,3,0,1,2,1,5,-4,1,조별리그
2002,30,슬로베니아,3,0,0,3,2,7,-5,0,조별리그
2002,31,중국,3,0,0,3,0,9,-9,0,조별리그
2002,32,사우디아라비아,3,0,0,3,0,12,-12,0,조별리그
2006,1,이탈리아,7,5,2,0,12,2,10,17,우승
2006,2,프랑스,7,4,3,0,9,3,6,15,준우승
2006,3,독일,7,5,1,1,14,6,8,16,3위
2006,4,포르투갈,7,4,1,2,7,5,2,13,4위
2006,5,브라질,5,4,0,1,10,2,8,12,8강
2006,6,아르헨티나,5,3,2,0,11,3,8,11,8강
2006,7,잉글랜드,5,3,2,0,6,2,4,11,8강
2006,8,우크라이나,5,2,1,2,5,7,-2,7,8강
2006,9,스페인,4,3,0,1,9,4,5,9,16강
2006,10,스위스,4,2,2,0,4,0,4,8,16강
2006,11,네덜란드,4,2,1,1,3,2,1,7,16강
2006,12,에콰도르,4,2,0,2,5,4,1,6,16강
2006,13,가나,4,2,0,2,4,6,-2,6,16강
2006,14,스웨덴,4,1,2,1,3,4,-1,5,16강
2006,15,멕시코,4,1,1,2,5,5,0,4,16강
2006,16,호주,4,1,1,2,5,6,-1,4,16강
2006,17,대한민국,3,1,1,1,3,4,-1,4,조별리그
2006,18,파라과이,3,1,0,2,2,2,0,3,조별리그
2006,19,코트디부아르,3,1,0,2,5,6,-1,3,조별리그
2006,20,체코,3,1,0,2,3,4,-1,3,조별리그
2006,21,폴란드,3,1,0,2,2,4,-2,3,조별리그
2006,22,크로아티아,3,0,2,1,2,3,-1,2,조별리그
2006,23,앙골라,3,0,2,1,1,2,-1,2,조별리그
2006,24,튀니지,3,0,1,2,3,6,-3,1,조별리그
2006,25,미국,3,0,1,2,2,6,-4,1,조별리그
2006,26,이란,3,0,1,2,2,6,-4,1,조별리그
2006,27,트리니다드 토바고,3,0,1,2,0,4,-4,1,조별리그
2006,28,사우디아라비아,3,0,1,2,2,7,-5,1,조별리그
2006,29,일본,3,0,1,2,2,7,-5,1,조별리그
2006,30,토고,3,0,0,3,1,6,-5,0,조별리그
2006,31,코스타리카,3,0,0,3,3,9,-6,0,조별리그
2006,32,세르비아 몬테네그로,3,0,0,3,2,10,-8,0,조별리그
2010,1,스페인,7,6,0,1,8,2,6,18,우승
2010,2,네덜란드,7,6,0,1,12,6,6,18,준우승
2010,3,독일,7,5,0,2,16,5,11,15,3위
2010,4,우루과이,7,3,2,2,11,8,3,11,4위
2010,5,아르헨티나,5,4,0,1,10,6,4,12,8강
2010,6,브라질,5,3,1,1,9,4,5,10,8강
2010,7,가나,5,2,2,1,5,4,1,8,8강
2010,8,파라과이,5,1,3,1,3,2,1,6,8강
2010,9,일본,4,2,1,1,4,2,2,7,16강
2010,10,칠레,4,2,0,2,3,5,-2,6,16강
2010,11,포르투갈,4,1,2,1,7,1,6,5,16강
2010,12,미국,4,1,2,1,5,5,0,5,16강
2010,13,잉글랜드,4,1,2,1,3,5,-2,5,16강
2010,14,멕시코,4,1,1,2,4,5,-1,4,16강
2010,15,대한민국,4,1,1,2,6,8,-2,4,16강
2010,16,슬로바키아,4,1,1,2,5,7,-2,4,16강
2010,17,코트디부아르,3,1,1,1,4,3,1,4,조별리그
2010,18,슬로베니아,3,1,1,1,3,3,0,4,조별리그
2010,19,스위스,3,1,1,1,1,1,0,4,조별리그
2010,20,남아프리카 공화국,3,1,1,1,3,5,-2,4,조별리그
2010,21,호주,3,1,1,1,3,6,-3,4,조별리그
2010,22,뉴질랜드,3,0,3,0,2,2,0,3,조별리그
2010,23,세르비아,3,1,0,2,2,3,-1,3,조별리그
2010,24,덴마크,3,1,0,2,3,6,-3,3,조별리그
2010,25,그리스,3,1,0,2,2,5,-3,3,조별리그
2010,26,이탈리아,3,0,2,1,4,5,-1,2,조별리그
2010,27,나이지리아,3,0,1,2,3,5,-2,1,조별리그
2010,28,알제리,3,0,1,2,0,2,-2,1,조별리그
2010,29,프랑스,3,0,1,2,1,4,-3,1,조별리그
2010,30,온두라스,3,0,1,2,0,3,-3,1,조별리그
2010,31,카메룬,3,0,0,3,2,5,-3,0,조별리그
2010,32,북한,3,0,0,3,1,12,-11,0,조별리그
2014,1,독일,7,6,1,0,18,4,14,19,우승
2014,2,아르헨티나,7,5,1,1,8,4,4,16,준우승
2014,3,네덜란드,7,5,2,0,15,4,11,17,3위
2014,4,브라질,7,3,2,2,11,14,-3,11,4위
2014,5,콜롬비아,5,4,0,1,12,4,8,12,8강
2014,6,벨기에,5,4,0,1,6,3,3,12,8강
2014,7,프랑스,5,3,1,1,11,3,8,10,8강
2014,8,코스타리카,5,2,3,0,5,2,3,9,8강
2014,9,칠레,4,2,1,1,6,4,2,7,16강
2014,10,멕시코,4,2,1,1,5,3,2,7,16강
2014,11,스위스,4,2,0,2,7,7,0,6,16강
2014,12,우루과이,4,2,0,2,4,6,-2,6,16강
2014,13,그리스,4,1,2,1,3,5,-2,5,16강
2014,14,알제리,4,1,1,2,7,7,0,4,16강
2014,15,미국,4,1,1,2,5,6,-1,4,16강
2014,16,나이지리아,4,1,1,2,3,5,-2,4,16강
2014,17,에콰도르,3,1,1,1,3,3,0,4,조별리그
2014,18,포르투갈,3,1,1,1,4,7,-3,4,조별리그
2014,19,크로아티아,3,1,0,2,6,6,0,3,조별리그
2014,20,보스니아 헤르체고비나,3,1,0,2,4,4,0,3,조별리그
2014,21,코트디부아르,3,1,0,2,4,5,-1,3,조별리그
2014,22,이탈리아,3,1,0,2,2,3,-1,3,조별리그
2014,23,스페인,3,1,0,2,4,7,-3,3,조별리그
2014,24,러시아,3,0,2,1,2,3,-1,2,조별리그
2014,25,가나,3,0,1,2,4,6,-2,1,조별리그
2014,26,잉글랜드,3,0,1,2,2,4,-2,1,조별리그
2014,27,대한민국,3,0,1,2,3,6,-3,1,조별리그
2014,28,이란,3,0,1,2,1,4,-3,1,조별리그
2014,29,일본,3,0,1,2,2,6,-4,1,조별리그
2014,30,호주,3,0,0,3,3,9,-6,0,조별리그
2014,31,온두라스,3,0,0,3,1,8,-7,0,조별리그
2014,32,카메룬,3,0,0,3,1,9,-8,0,조별리그
2018,1,프랑스,7,6,1,0,14,6,8,19,우승
2018,2,크로아티아,7,4,2,1,14,9,5,14,준우승
2018,3,벨기에,7,6,0,1,16,6,10,18,3위
2018,4,잉글랜드,7,3,1,3,12,8,4,10,4위
2018,5,우루과이,5,4,0,1,7,3,4,12,8강
2018,6,브라질,5,3,1,1,8,3,5,10,8강
2018,7,스웨덴,5,3,0,2,6,4,2,9,8강
2018,8,러시아,5,2,2,1,11,7,4,8,8강
2018,9,콜롬비아,4,2,1,1,6,3,3,7,16강
2018,10,스페인,4,1,3,0,7,6,1,6,16강
2018,11,덴마크,4,1,3,0,3,2,1,6,16강
2018,12,멕시코,4,2,0,2,3,6,-3,6,16강
2018,13,포르투갈,4,1,2,1,6,6,0,5,16강
2018,14,스위스,4,1,2,1,5,5,0,5,16강
2018,15,일본,4,1,1,2,6,7,-1,4,16강
2018,16,아르헨티나,4,1,1,2,6,9,-3,4,16강
2018,17,세네갈,3,1,1,1,4,4,0,4,조별 리그
2018,18,이란,3,1,1,1,2,2,0,4,조별 리그
2018,19,대한민국,3,1,0,2,3,3,0,3,조별 리그
2018,20,페루,3,1,0,2,2,2,0,3,조별 리그
2018,21,나이지리아,3,1,0,2,3,4,-1,3,조별 리그
2018,22,독일,3,1,0,2,2,4,-2,3,조별 리그
2018,23,세르비아,3,1,0,2,2,4,-2,3,조별 리그
2018,24,튀니지,3,1,0,2,5,8,-3,3,조별 리그
2018,25,폴란드,3,1,0,2,2,5,-3,3,조별 리그
2018,26,사우디아라비아,3,1,0,2,2,7,-5,3,조별 리그
2018,27,모로코,3,0,1,2,2,4,-2,1,조별 리그
2018,28,아이슬란드,3,0,1,2,2,5,-3,1,조별 리그
2018,29,코스타리카,3,0,1,2,2,5,-3,1,조별 리그
2018,30,호주,3,0,1,2,2,5,-3,1,조별 리그
2018,31,이집트,3,0,0,3,2,6,-4,0,조별 리그
2018,32,파나마,3,0,0,3,2,11,-9,0,조별 리그
2022,1,아르헨티나,7,4,2,1,15,8,7,14,우승
2022,2,프랑스,7,5,1,1,16,8,8,16,준우승
2022,3,크로아티아,7,2,4,1,8,7,1,10,3위
2022,4,모로코,7,3,2,2,6,5,1,11,4위
2022,5,네덜란드,5,3,2,0,10,4,6,11,8강
2022,6,잉글랜드,5,3,1,1,13,4,9,10,8강
2022,7,브라질,5,3,1,1,8,3,5,10,8강
2022,8,포르투갈,5,3,0,2,12,6,6,9,8강
2022,9,일본,4,2,1,1,5,4,1,7,16강
2022,10,세네갈,4,2,0,2,5,7,-2,6,16강
2022,11,호주,4,2,0,2,4,6,-2,6,16강
2022,12,스위스,4,2,0,2,5,9,-4,6,16강
2022,13,스페인,4,1,2,1,9,3,6,5,16강
2022,14,미국,4,1,2,1,3,4,-1,5,16강
2022,15,폴란드,4,1,1,2,3,5,-2,4,16강
2022,16,대한민국,4,1,1,2,5,8,-3,4,16강
2022,17,독일,3,1,1,1,6,5,1,4,조별 리그
2022,18,에콰도르,3,1,1,1,4,3,1,4,조별 리그
2022,19,카메룬,3,1,1,1,4,4,0,4,조별 리그
2022,20,우루과이,3,1,1,1,2,2,0,4,조별 리그
2022,21,튀니지,3,1,1,1,1,1,0,4,조별 리그
2022,22,멕시코,3,1,1,1,2,3,-1,4,조별 리그
2022,23,벨기에,3,1,1,1,1,2,-1,4,조별 리그
2022,24,가나,3,1,0,2,5,7,-2,3,조별 리그
2022,25,사우디아라비아,3,1,0,2,3,5,-2,3,조별 리그
2022,26,이란,3,1,0,2,4,7,-3,3,조별 리그
2022,27,코스타리카,3,1,0,2,3,11,-8,3,조별 리그
2022,28,덴마크,3,0,1,2,1,3,-2,1,조별 리그
2022,29,세르비아,3,0,1,2,5,8,-3,1,조별 리그
2022,30,웨일스,3,0,1,2,1,6,-5,1,조별 리그
2022,31,캐나다,3,0,0,3,2,7,-5,0,조별 리그
2022,32,카타르,3,0,0,3,1,7,-6,0,조별 리그
