Rank,Change,Team,Total_Points,Previous_Points,PlusMinus,Matches,Update_Date
1,,France,810,812,-2,,2001-09-19
2,,Brazil,799,808,-9,,2001-09-19
3,,Argentina,794,783,+11,,2001-09-19
4,,Italy,737,733,+4,,2001-09-19
5,4,Portugal,732,714,+18,,2001-09-19
6,2,Spain,730,716,+14,,2001-09-19
7,1,Colombia,719,723,-4,,2001-09-19
8,2,Netherlands,717,705,+12,,2001-09-19
9,6,England,712,675,+37,,2001-09-19
10,2,Mexico,711,702,+9,,2001-09-19
11,,Paraguay,710,703,+7,,2001-09-19
12,7,Germany,708,725,-17,,2001-09-19
13,,Yugoslavia,705,691,+14,,2001-09-19
14,7,Czech Republic,704,716,-12,,2001-09-19
15,1,Romania,695,687,+8,,2001-09-19
16,1,Croatia,674,666,+8,,2001-09-19
17,2,Sweden,673,661,+12,,2001-09-19
18,,Denmark,664,663,+1,,2001-09-19
19,3,USA,660,670,-10,,2001-09-19
20,3,Honduras,656,643,+13,,2001-09-19
21,3,Uruguay,653,642,+11,,2001-09-19
22,3,Republic of Ireland,653,638,+15,,2001-09-19
23,2,Norway,650,648,+2,,2001-09-19
24,4,Russia,648,652,-4,,2001-09-19
25,3,Tunisia,645,646,-1,,2001-09-19
26,4,Belgium,643,622,+21,,2001-09-19
27,1,Poland,634,638,-4,,2001-09-19
28,1,Japan,633,634,-1,,2001-09-19
29,2,Costa Rica,630,621,+9,,2001-09-19
30,2,South Africa,628,629,-1,,2001-09-19
31,13,Slovenia,622,595,+27,,2001-09-19
32,3,Morocco,621,624,-3,,2001-09-19
33,15,Ukraine,617,583,+34,,2001-09-19
34,1,Turkey,616,612,+4,,2001-09-19
35,1,Saudi Arabia,615,609,+6,,2001-09-19
36,4,Trinidad and Tobago,615,619,-4,,2001-09-19
37,2,Chile,612,609,+3,,2001-09-19
38,8,IR Iran,610,585,+25,,2001-09-19
39,2,Cameroon,608,608,-,,2001-09-19
40,6,Nigeria,604,610,-6,,2001-09-19
41,3,Egypt,604,602,+2,,2001-09-19
42,2,Slovakia,598,601,-3,,2001-09-19
43,1,Korea Republic,597,596,+1,,2001-09-19
44,1,Peru,594,596,-2,,2001-09-19
45,,C̫te d'Ivoire,593,589,+4,,2001-09-19
46,1,Ecuador,591,583,+8,,2001-09-19
47,6,Israel,590,596,-6,,2001-09-19
48,2,Bulgaria,586,581,+5,,2001-09-19
49,10,Scotland,586,602,-16,,2001-09-19
50,1,Austria,585,581,+4,,2001-09-19
51,,Australia,578,578,-,,2001-09-19
52,3,Finland,576,552,+24,,2001-09-19
53,4,Iceland,576,552,+24,,2001-09-19
54,2,Jamaica,567,576,-9,,2001-09-19
55,2,Angola,563,558,+5,,2001-09-19
56,4,Switzerland,563,549,+14,,2001-09-19
57,2,Ghana,552,550,+2,,2001-09-19
58,,Zambia,551,551,-,,2001-09-19
59,13,Georgia,548,510,+38,,2001-09-19
60,3,China PR,548,529,+19,,2001-09-19
61,5,Greece,548,552,-4,,2001-09-19
62,1,Guatemala,548,546,+2,,2001-09-19
63,1,Thailand,543,543,-,,2001-09-19
64,10,Hungary,540,557,-17,,2001-09-19
65,2,Uzbekistan,537,523,+14,,2001-09-19
66,2,United Arab Emirates,532,529,+3,,2001-09-19
67,2,Zimbabwe,529,526,+3,,2001-09-19
68,,Togo,526,522,+4,,2001-09-19
69,3,Senegal,525,525,-,,2001-09-19
70,,Liberia,512,514,-2,,2001-09-19
71,,Congo DR,511,512,-1,,2001-09-19
72,3,Iraq,509,518,-9,,2001-09-19
73,,Algeria,508,507,+1,,2001-09-19
74,1,Burkina Faso,506,506,-,,2001-09-19
75,2,Cuba,505,504,+1,,2001-09-19
76,2,Bosnia and Herzegovina,505,502,+3,,2001-09-19
77,1,Kuwait,505,505,-,,2001-09-19
78,1,Bolivia,501,501,-,,2001-09-19
79,5,Cyprus,499,507,-8,,2001-09-19
80,2,FYR Macedonia,494,489,+5,,2001-09-19
81,1,Estonia,491,492,-1,,2001-09-19
82,5,Belarus,487,474,+13,,2001-09-19
83,5,Qatar,484,474,+10,,2001-09-19
84,3,Canada,483,489,-6,,2001-09-19
85,2,Haiti,482,481,+1,,2001-09-19
86,1,El Salvador,478,475,+3,,2001-09-19
87,3,New Zealand,477,477,-,,2001-09-19
88,2,Albania,472,474,-2,,2001-09-19
89,,Indonesia,471,471,-,,2001-09-19
90,2,Congo,459,458,+1,,2001-09-19
91,,Oman,456,461,-5,,2001-09-19
92,3,Lithuania,456,450,+6,,2001-09-19
93,,Syria,454,454,-,,2001-09-19
94,,Latvia,449,450,-1,,2001-09-19
95,4,Lebanon,448,443,+5,,2001-09-19
96,,Armenia,448,449,-1,,2001-09-19
97,10,Northern Ireland,446,411,+35,,2001-09-19
98,1,Namibia,446,447,-1,,2001-09-19
99,9,Gabon,443,468,-25,,2001-09-19
100,3,Moldova,440,422,+18,,2001-09-19
101,1,Jordan,440,440,-,,2001-09-19
102,1,Vietnam,438,437,+1,,2001-09-19
103,5,Guinea,438,444,-6,,2001-09-19
104,6,Venezuela,435,400,+35,,2001-09-19
105,,Wales,428,415,+13,,2001-09-19
106,4,Kenya,423,423,-,,2001-09-19
107,3,Kazakhstan,421,421,-,,2001-09-19
108,2,Barbados,415,413,+2,,2001-09-19
109,1,Singapore,406,407,-1,,2001-09-19
110,1,Malaysia,405,405,-,,2001-09-19
111,,Panama,394,392,+2,,2001-09-19
112,5,Bahrain,390,379,+11,,2001-09-19
113,1,Azerbaijan,389,384,+5,,2001-09-19
114,2,Mali,383,391,-8,,2001-09-19
115,1,Turkmenistan,382,380,+2,,2001-09-19
116,1,Libya,381,380,+1,,2001-09-19
117,4,Uganda,379,387,-8,,2001-09-19
118,4,Faroe Islands,373,364,+9,,2001-09-19
119,2,Sudan,369,365,+4,,2001-09-19
120,2,India,367,368,-1,,2001-09-19
121,2,Malawi,364,367,-3,,2001-09-19
122,2,Madagascar,361,366,-5,,2001-09-19
123,1,Fiji,349,349,-,,2001-09-19
124,1,Mozambique,347,350,-3,,2001-09-19
125,,Mauritius,344,341,+3,,2001-09-19
126,,Tahiti,336,336,-,,2001-09-19
127,,Lesotho,333,331,+2,,2001-09-19
128,,St. Vincent and the Grenadines,333,330,+3,,2001-09-19
129,,St. Kitts and Nevis,329,329,-,,2001-09-19
130,,St. Lucia,327,327,-,,2001-09-19
131,,Eswatini,323,323,-,,2001-09-19
132,1,Malta,319,310,+9,,2001-09-19
133,1,Grenada,311,311,-,,2001-09-19
134,2,Solomon Islands,309,309,-,,2001-09-19
135,1,Hong Kong,308,309,-1,,2001-09-19
136,1,Burundi,301,305,-4,,2001-09-19
137,1,Yemen,295,295,-,,2001-09-19
138,1,Korea DPR,294,294,-,,2001-09-19
139,4,Sierra Leone,290,309,-19,,2001-09-19
140,,Rwanda,283,285,-2,,2001-09-19
141,,Myanmar,268,276,-8,,2001-09-19
142,,Suriname,268,268,-,,2001-09-19
143,,Tajikistan,266,268,-2,,2001-09-19
144,1,Andorra,263,256,+7,,2001-09-19
145,1,Luxembourg,256,260,-4,,2001-09-19
146,,Ethiopia,253,255,-2,,2001-09-19
147,,Palestine,253,253,-,,2001-09-19
148,1,Bangladesh,252,253,-1,,2001-09-19
149,,Maldives,248,248,-,,2001-09-19
150,1,Liechtenstein,246,244,+2,,2001-09-19
151,1,Sri Lanka,244,246,-2,,2001-09-19
152,2,Botswana,230,230,-,,2001-09-19
153,1,Antigua and Barbuda,229,232,-3,,2001-09-19
154,1,Tanzania,225,232,-7,,2001-09-19
155,1,Nepal,220,220,-,,2001-09-19
156,1,Benin,216,220,-4,,2001-09-19
157,,Gambia,215,215,-,,2001-09-19
158,1,San Marino,214,213,+1,,2001-09-19
159,1,Dominica,212,214,-2,,2001-09-19
160,2,Dominican Republic,205,206,-1,,2001-09-19
161,1,Cayman Islands,205,207,-2,,2001-09-19
162,1,Bermuda,204,206,-2,,2001-09-19
163,,Cape Verde Islands,203,204,-1,,2001-09-19
164,,British Virgin Islands,202,202,-,,2001-09-19
165,,Kyrgyz Republic,198,197,+1,,2001-09-19
166,,Laos,194,194,-,,2001-09-19
167,,Belize,187,187,-,,2001-09-19
168,1,Vanuatu,182,182,-,,2001-09-19
169,1,Eritrea,181,184,-3,,2001-09-19
170,,Chinese Taipei,180,181,-1,,2001-09-19
171,,Cambodia,179,179,-,,2001-09-19
172,,Mauritania,161,167,-6,,2001-09-19
173,,Chad,159,162,-3,,2001-09-19
174,,Samoa,158,158,-,,2001-09-19
175,,Tonga,151,151,-,,2001-09-19
176,,Cook Islands,149,150,-1,,2001-09-19
177,1,Guyana,143,142,+1,,2001-09-19
178,1,Philippines,143,143,-,,2001-09-19
179,,Central African Republic,117,119,-2,,2001-09-19
180,,Macau,114,114,-,,2001-09-19
181,1,Bahamas,108,110,-2,,2001-09-19
182,1,Guinea-Bissau,108,111,-3,,2001-09-19
183,1,Pakistan,107,106,+1,,2001-09-19
184,1,Sao Tome e Principe,106,108,-2,,2001-09-19
185,,Aruba,101,101,-,,2001-09-19
186,,Mongolia,94,94,-,,2001-09-19
187,1,Nicaragua,89,89,-,,2001-09-19
188,1,Niger,87,91,-4,,2001-09-19
189,,Brunei Darussalam,86,86,-,,2001-09-19
190,,Equatorial Guinea,83,85,-2,,2001-09-19
191,,Seychelles,75,77,-2,,2001-09-19
192,,Djibouti,73,75,-2,,2001-09-19
193,,Anguilla,65,65,-,,2001-09-19
194,,Papua New Guinea,58,59,-1,,2001-09-19
195,,Puerto Rico,55,55,-,,2001-09-19
196,,Somalia,53,54,-1,,2001-09-19
197,,US Virgin Islands,48,48,-,,2001-09-19
198,,Guam,27,27,-,,2001-09-19
199,,Turks and Caicos Islands,21,21,-,,2001-09-19
200,,American Samoa,16,16,-,,2001-09-19
201,,Bhutan,14,14,-,,2001-09-19
202,,Montserrat,10,10,-,,2001-09-19
203,,San Marino,10,10,-,,2001-09-19